"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2005","Co. Louth","Number","14"
"Persons Killed","2005","Co. Meath","Number","30"
"Persons Killed","2005","Co. Offaly","Number","8"
"Persons Killed","2005","Co. Westmeath","Number","12"
"Persons Killed","2005","Co. Wexford","Number","21"
"Persons Killed","2005","Co. Wicklow","Number","8"
"Persons Killed","2005","Co. Clare","Number","12"
"Persons Killed","2005","Co. Cork","Number","39"
"Persons Killed","2005","Co. Kerry","Number","11"
"Persons Killed","2005","Co. Limerick","Number","17"
"Persons Killed","2005","Co. Tipperary","Number","15"
"Persons Killed","2005","Co. Waterford","Number","9"
"Persons Killed","2005","Co. Galway","Number","21"
"Persons Killed","2005","Co. Leitrim","Number","8"
"Persons Killed","2005","Co. Mayo","Number","14"
"Persons Killed","2005","Co. Roscommon","Number","5"
"Persons Killed","2005","Co. Sligo","Number","11"
"Persons Killed","2005","Co. Cavan","Number","10"
"Persons Killed","2005","Co. Donegal","Number","27"
"Persons Killed","2005","Co. Monaghan","Number","11"
"Persons Killed","2006","Co. Carlow","Number","7"
"Persons Killed","2006","Co. Dublin","Number","34"
"Persons Killed","2006","Co. Kildare","Number","23"
"Persons Killed","2006","Co. Kilkenny","Number","4"
"Persons Killed","2006","Co. Laois","Number","8"
"Persons Killed","2006","Co. Longford","Number","6"
"Persons Killed","2006","Co. Louth","Number","14"
"Persons Killed","2006","Co. Meath","Number","22"
"Persons Killed","2006","Co. Offaly","Number","9"
"Persons Killed","2006","Co. Westmeath","Number","18"
"Persons Killed","2006","Co. Wexford","Number","20"
"Persons Killed","2006","Co. Wicklow","Number","11"
"Persons Killed","2006","Co. Clare","Number","9"
"Persons Killed","2006","Co. Cork","Number","33"
"Persons Killed","2006","Co. Kerry","Number","21"
"Persons Killed","2006","Co. Limerick","Number","16"
"Persons Killed","2006","Co. Tipperary","Number","26"
"Persons Killed","2006","Co. Waterford","Number","8"
"Persons Killed","2006","Co. Galway","Number","19"
"Persons Killed","2006","Co. Leitrim","Number","3"
"Persons Killed","2006","Co. Mayo","Number","11"
"Persons Killed","2006","Co. Roscommon","Number","5"
"Persons Killed","2006","Co. Sligo","Number","4"
"Persons Killed","2006","Co. Cavan","Number","7"
"Persons Killed","2006","Co. Donegal","Number","19"
"Persons Killed","2006","Co. Monaghan","Number","8"
"Persons Killed","2007","Co. Carlow","Number","3"
"Persons Killed","2007","Co. Dublin","Number","35"
"Persons Killed","2007","Co. Kildare","Number","13"
"Persons Killed","2007","Co. Kilkenny","Number","12"
"Persons Killed","2007","Co. Laois","Number","5"
"Persons Killed","2007","Co. Longford","Number","6"
"Persons Killed","2007","Co. Louth","Number","16"
"Persons Killed","2007","Co. Meath","Number","14"
"Persons Killed","2007","Co. Offaly","Number","5"
"Persons Killed","2007","Co. Westmeath","Number","14"
"Persons Killed","2007","Co. Wexford","Number","17"
"Persons Killed","2007","Co. Wicklow","Number","9"
"Persons Killed","2007","Co. Clare","Number","12"
"Persons Killed","2007","Co. Cork","Number","31"
"Persons Killed","2007","Co. Kerry","Number","14"
"Persons Killed","2007","Co. Limerick","Number","16"
"Persons Killed","2007","Co. Tipperary","Number","18"
"Persons Killed","2007","Co. Waterford","Number","6"
"Persons Killed","2007","Co. Galway","Number","24"
"Persons Killed","2007","Co. Leitrim","Number","7"
"Persons Killed","2007","Co. Mayo","Number","9"
